trial,angle_A,angle_B,outcome_A,outcome_B
1,45.0,67.5,1,-1
2,45.0,67.5,-1,1
3,45.0,22.5,-1,-1
4,0.0,67.5,-1,-1
5,45.0,67.5,1,1
6,0.0,67.5,1,1
7,0.0,22.5,1,-1
8,45.0,22.5,-1,1
9,45.0,22.5,-1,1
10,45.0,22.5,-1,1
11,0.0,67.5,-1,1
12,45.0,22.5,-1,1
13,45.0,22.5,-1,1
14,0.0,67.5,1,-1
15,0.0,22.5,1,-1
16,0.0,67.5,-1,-1
17,45.0,67.5,-1,1
18,0.0,67.5,1,1
19,0.0,22.5,-1,1
20,0.0,67.5,1,-1
21,45.0,67.5,-1,-1
22,0.0,67.5,-1,1
23,0.0,67.5,1,-1
24,0.0,22.5,-1,-1
25,0.0,67.5,-1,1
26,0.0,67.5,1,-1
27,0.0,67.5,-1,1
28,0.0,22.5,-1,1
29,0.0,22.5,-1,1
30,0.0,67.5,-1,1
31,45.0,67.5,1,-1
32,0.0,67.5,-1,-1
33,0.0,67.5,1,-1
34,45.0,22.5,1,-1
35,45.0,67.5,1,-1
36,0.0,67.5,-1,-1
37,0.0,22.5,1,-1
38,45.0,22.5,-1,-1
39,45.0,22.5,-1,1
40,45.0,67.5,-1,-1
41,0.0,22.5,1,1
42,0.0,67.5,1,1
43,45.0,67.5,1,-1
44,45.0,22.5,-1,1
45,45.0,67.5,1,-1
46,0.0,67.5,-1,-1
47,45.0,22.5,1,-1
48,0.0,22.5,1,1
49,45.0,67.5,1,-1
50,0.0,67.5,1,-1
51,0.0,22.5,-1,1
52,0.0,22.5,1,-1
53,45.0,22.5,1,-1
54,0.0,22.5,-1,1
55,0.0,67.5,1,-1
56,45.0,22.5,1,1
57,45.0,67.5,1,1
58,0.0,67.5,-1,-1
59,0.0,22.5,1,1
60,0.0,67.5,-1,-1
61,45.0,67.5,-1,1
62,45.0,67.5,-1,1
63,45.0,67.5,-1,1
64,0.0,67.5,-1,-1
65,0.0,22.5,1,-1
66,0.0,22.5,1,1
67,45.0,22.5,-1,1
68,45.0,67.5,-1,0
69,45.0,67.5,1,1
70,45.0,67.5,1,-1
71,0.0,22.5,-1,1
72,0.0,22.5,-1,1
73,0.0,67.5,-1,1
74,45.0,22.5,-1,-1
75,45.0,67.5,-1,1
